HouseID,Street,City,State,Zip,Lat,Lon,TotalPrice
363,6206 77th St,Lubbock,Texas,79424,33.523586,-101.9520035,278880
364,5704 92nd St,Lubbock,Texas,79424,33.510303,-101.935997,132717
365,1914 75th St,Lubbock,Texas,79423,33.52689,-101.8590012,136248
366,5201 Itasca St,Lubbock,Texas,79416,33.610129,-101.9240036,140280
367,6209 Louisville Dr,Lubbock,Texas,79413,33.53609,-101.8909988,168000
368,4611 88th St,Lubbock,Texas,79424,33.510283,-101.9440002,312060
369,9402 Miami Ave,Lubbock,Texas,79423,33.506779,-101.8779984,239064
370,6314 Nashville Dr,Lubbock,Texas,79413,33.535908,-101.9020004,183120
371,5814 72nd St,Lubbock,Texas,79424,33.528309,-101.9420013,131880
372,6034 73rd St,Lubbock,Texas,79424,33.527699,-101.9469986,144984
